ID,Treatment,day,day_cat,PD_Size
2A1,APO_25,1,day_1,21.658
2A1,APO_25,8,day_8,12.97
2A1,APO_25,14,day_14,10.825
2A2,APO_25,1,day_1,15.05
2A2,APO_25,8,day_8,N/A
2A2,APO_25,14,day_14,N/A
2A3,APO_25,1,day_1,13.325
2A3,APO_25,8,day_8,12.449
2A3,APO_25,14,day_14,6.966
2A4,APO_25,1,day_1,11.759
2A4,APO_25,8,day_8,3.497
2A4,APO_25,14,day_14,12.678
2B1,APO_25,1,day_1,29.234
2B1,APO_25,8,day_8,30.407
2B1,APO_25,14,day_14,N/A
2B2,APO_25,1,day_1,16.373
2B2,APO_25,8,day_8,
2B2,APO_25,14,day_14,N/A
2B3,APO_25,1,day_1,33.718
2B3,APO_25,8,day_8,13.286
2B3,APO_25,14,day_14,26.633
2B4,APO_25,1,day_1,13.727
2B4,APO_25,8,day_8,15.471
2B4,APO_25,14,day_14,N/A
2C1,APO_25,1,day_1,12.272
2C1,APO_25,8,day_8,9.729
2C1,APO_25,14,day_14,7.111
2C2,APO_25,1,day_1,11.649
2C2,APO_25,8,day_8,5.2675
2C2,APO_25,14,day_14,4.285
2C3,APO_25,1,day_1,4.0595
2C3,APO_25,8,day_8,12.074
2C3,APO_25,14,day_14,5.766
2C4,APO_25,1,day_1,28.075
2C4,APO_25,8,day_8,3.638
2C4,APO_25,14,day_14,8.75
4A1,APO_32,1,day_1,9.304
4A1,APO_32,8,day_8,10.498
4A1,APO_32,14,day_14,7.184
4A2,APO_32,1,day_1,16.738
4A2,APO_32,8,day_8,12.82
4A2,APO_32,14,day_14,3
4A3,APO_32,1,day_1,6.974
4A3,APO_32,8,day_8,10.997
4A3,APO_32,14,day_14,N/A
4A4,APO_32,1,day_1,8.485
4A4,APO_32,8,day_8,4.587
4A4,APO_32,14,day_14,2.362
4B1,APO_32,1,day_1,8.756
4B1,APO_32,8,day_8,5.421
4B1,APO_32,14,day_14,4.992
4B2,APO_32,1,day_1,5.353
4B2,APO_32,8,day_8,10.532
4B2,APO_32,14,day_14,N/A
4B3,APO_32,1,day_1,18.037
4B3,APO_32,8,day_8,N/A
4B3,APO_32,14,day_14,5.787
4B4,APO_32,1,day_1,20.39
4B4,APO_32,8,day_8,21.795
4B4,APO_32,14,day_14,6.57
4C1,APO_32,1,day_1,20.142
4C1,APO_32,8,day_8,5.129
4C1,APO_32,14,day_14,6.242
4C2,APO_32,1,day_1,8.608
4C2,APO_32,8,day_8,N/A
4C2,APO_32,14,day_14,N/A
4C3,APO_32,1,day_1,23.112
4C3,APO_32,8,day_8,9.387
4C3,APO_32,14,day_14,2.498
4C4,APO_32,1,day_1,25.578
4C4,APO_32,8,day_8,10.324
4C4,APO_32,14,day_14,6.327
8A1,SYM_25,1,day_1,30.542
8A1,SYM_25,8,day_8,31.1
8A1,SYM_25,14,day_14,N/A
8A2,SYM_25,1,day_1,22.559
8A2,SYM_25,8,day_8,12.971
8A2,SYM_25,14,day_14,4.498
8A3,SYM_25,1,day_1,13.483
8A3,SYM_25,8,day_8,18.853
8A3,SYM_25,14,day_14,N/A
9A4,SYM_25,1,day_1,23.315
9A4,SYM_25,8,day_8,37.683
9A4,SYM_25,14,day_14,18.961
8B1,SYM_25,1,day_1,23.572
8B1,SYM_25,8,day_8,31.19
8B1,SYM_25,14,day_14,19.157
8B2,SYM_25,1,day_1,30.131
8B2,SYM_25,8,day_8,7.628
8B2,SYM_25,14,day_14,30.485
8B3,SYM_25,1,day_1,23.151
8B3,SYM_25,8,day_8,16.717
8B3,SYM_25,14,day_14,7.027
8B4,SYM_25,1,day_1,28.754
8B4,SYM_25,8,day_8,
8B4,SYM_25,14,day_14,3.863
8C1,SYM_25,1,day_1,16.82
8C1,SYM_25,8,day_8,
8C1,SYM_25,14,day_14,8.765
8C2,SYM_25,1,day_1,12.527
8C2,SYM_25,8,day_8,15.658
8C2,SYM_25,14,day_14,2.817
8C3,SYM_25,1,day_1,15.72
8C3,SYM_25,8,day_8,15.984
8C3,SYM_25,14,day_14,13.659
8C4,SYM_25,1,day_1,5.867
8C4,SYM_25,8,day_8,6.337
8C4,SYM_25,14,day_14,4.748
15A1,SYM_32,1,day_1,22.677
15A1,SYM_32,8,day_8,
15A1,SYM_32,14,day_14,
15A2,SYM_32,1,day_1,21.597
15A2,SYM_32,8,day_8,14.333
15A2,SYM_32,14,day_14,13.687
15A3,SYM_32,1,day_1,21.312
15A3,SYM_32,8,day_8,8.092
15A3,SYM_32,14,day_14,
15A4,SYM_32,1,day_1,36.046
15A4,SYM_32,8,day_8,34.87
15A4,SYM_32,14,day_14,3.294
15B1,SYM_32,1,day_1,29.914
15B1,SYM_32,8,day_8,26.262
15B1,SYM_32,14,day_14,22.278
15B2,SYM_32,1,day_1,3.186
15B2,SYM_32,8,day_8,
15B2,SYM_32,14,day_14,
15B3,SYM_32,1,day_1,6.714
15B3,SYM_32,8,day_8,18.786
15B3,SYM_32,14,day_14,13.651
15B4,SYM_32,1,day_1,29.463
15B4,SYM_32,8,day_8,27.314
15B4,SYM_32,14,day_14,29.92
15C1,SYM_32,1,day_1,30.442
15C1,SYM_32,8,day_8,37.483
15C1,SYM_32,14,day_14,25.512
15C2,SYM_32,1,day_1,1.411
15C2,SYM_32,8,day_8,4.969
15C2,SYM_32,14,day_14,4.795
15C3,SYM_32,1,day_1,25.765
15C3,SYM_32,8,day_8,34.441
15C3,SYM_32,14,day_14,19.912
15C4,SYM_32,1,day_1,28.397
15C4,SYM_32,8,day_8,N/A
15C4,SYM_32,14,day_14,N/A